,KC Name,Number of Unique Steps,Number of Observations,Intercept (logit) at Opportunity 1,Intercept (probability) at Opportunity 1,Slope
0,1.1 recall_elmnts_bigpic_skill,139,1221,1.755794703,0.852682194,0.037166358
1,1.2 classify_kinds_elrng_skill,26,816,0.220397507,0.554877417,0.081657511
2,1.3 evaluate_resrch_evdnc_media_comprsns_skill,4,120,2.381669115,0.915418759,0.423800561
3,1.4 identify_good_bad_ugly_elrng_skill,21,577,0.329248442,0.5815765,0.103244656
4,10.1 explain_stdnt_interctns_elrng_sys_CTA_skill,4,303,-0.545802088,0.366838904,0.484144722
5,10.2 recognize_featrs_good_lrng_curv_skill,5,340,0.657378654,0.658671294,0.365798698
6,10.3 use_lc_to_do_cta_skill,18,465,0.646872187,0.656305271,0.139191152
7,10.4 evaluate_redsgn_tutr_basd_imprvd_kc_skill,24,631,0.332966624,0.582481027,0.088488691
8,11.1 apply_evidence,9,390,0.627807965,0.651992259,0.0
9,11.2a identify_resrch_approch_stdy_insrtcl_effectns,4,189,0.481613173,0.61812873,0.200414611
10,11.2b identify_featrs_good_exprmnts,10,305,1.118582667,0.753725721,0.057076426
11,11.2c identify_reasons_no_effect,4,188,0.631201575,0.652761866,0.132249743
12,11.3 interpret_sig_in_stats,12,358,1.127316626,0.755343352,0.0
13,11.4 explain_lrng_proc_for_which_kinds_knwldg,25,341,0.998523438,0.73076817,0.0
14,11.5 given_instrctnl_explain_lrng_proc,17,202,0.530327669,0.629559532,0.110550721
15,11.6 given_lo_identify_knwldg_lrng_selct_ip,5,240,0.424185834,0.604484448,0.129546902
16,12.1 explain_delbrt_prac_diff_genrl_prac,9,294,0.79566883,0.68904724,0.239180446
17,12.2a aef_how_much_prac,18,430,0.664290751,0.660223586,0.116452002
18,12.2b aef_kind_of_prac_distrb,37,925,0.220281498,0.554848764,0.080172421
19,12.2c aef_what_feedback,21,531,0.565747512,0.637781358,0.084802733
20,12.2d layout_prac,1,33,-0.104522602,0.473893113,1.492467202
21,13.1 employ_strategies_create_wrkd_exmpl,12,257,-0.182032769,0.454617056,0.294976269
22,13.2 design_faded_wrkd_exmpl_proc,14,289,0.605238936,0.646853976,0.180175851
