,KC Name,Number of Unique Steps,Number of Observations,Intercept (logit) at Opportunity 1,Intercept (probability) at Opportunity 1,Slope
0,1.1 Recall elements of the course big picture diagram,45,947,1.64168653,0.837764293,0.0
1,"1.2 Classify kinds of e-learning based on learning goals: inform, perform procedure or perform principle",7,268,1.451042839,0.810158876,0.0
2,1.3 Evaluate research evidence on media comparisons,3,113,2.148059168,0.895487274,0.0
3,"1.4 Identify the good, bad, & ugly of e-learning: Promises & pitfalls",18,394,0.828604609,0.696059801,0.007458546
4,10.1 Explain how student interactions in an e-learning system can be used to perform Cognitive Task Analysis,5,380,0.118112211,0.529493773,0.150409631
5,10.2 Recognize the features of a good learning curve,7,435,1.968069628,0.877403621,0.01294587
6,10.3 Use learning curves to do Cognitive Task Analysis,20,763,0.610097948,0.647963145,0.047236989
7,10.7 Evaluate and redesign based from CTA and data mining,37,869,0.451923511,0.611096468,0.043542713
8,11.1 Explain which learning processes are needed for which kinds of knowledge,23,783,0.87503337,0.705791957,0.067040011
9,"11.2 Given an instructional principle, explain what learning process(es) it facilitates",18,537,0.654617132,0.658050167,0.083109909
10,"11.3 Given a learning objective, identify the associated kind(s) of Knowledge & Learning needed to select appropriate Instructional principles",4,331,-0.14715885,0.463276536,0.393119745
11,12.1 Explain how deliberate practice is different from the general idea of practice,8,393,0.29249283,0.572606309,0.204989294
12,12.2 Apply evidence on how much practice to include,14,657,0.553563127,0.634961868,0.081801593
13,12.3 Apply evidence on what kind of practice is best and how to distribute it,41,1946,-0.041994339,0.489502958,0.040975003
14,12.4 Apply evidence on what kind of feedback is best,16,712,0.812618654,0.692667243,0.079972082
15,12.5 Apply evidence on how to layout practice exercises,4,168,0.099898264,0.524953817,0.057460656
16,13.1 Design a faded worked example,14,451,0.390261297,0.5963456,0.177594866
17,13.2 Add self-explanation questions,11,317,1.466797214,0.81257009,0.234414578
18,13.3 Use variation & comparison to design for far transfer learning,30,888,0.644208728,0.655704229,0.052546909
19,13.4 Apply evidence on when & how to transition from examples to practice,15,558,0.954037255,0.721926377,0.024002835
20,13.5 Provide structure for inexperienced learners,21,350,0.114366844,0.528560587,0.131227335
21,13.6 Make practice the default,9,204,-0.335502192,0.41690246,0.851874923
22,13.7 Give pacing control to learner,10,265,1.280016225,0.782452538,0.185283929
23,13.8 Articulate reasons pro and con learner control,10,313,1.073662411,0.745292781,0.383663692
24,14.5 Base lessons on cognitive task analysis,6,303,1.26337128,0.779605909,0.058141018
25,14.6 Explain how games are different from the general idea of practice,7,377,0.637265377,0.654135034,0.11962454
26,14.7 Describe features demonstrated in value-added research to increase the instructional effectiveness of computer games,22,816,0.744091339,0.677889871,0.022843007
27,14.8 Explain and apply value-added and media comparison experimental research designs,4,367,0.153263653,0.538241086,0.200175696
28,15.1 Describe the multimedia principle and why it is effective for learning,18,705,0.300646084,0.57460045,0.076967513
29,15.2 Recognize when the multimedia principle has been violated and when it has been applied well,15,614,0.27145183,0.567449292,0.066309163
30,15.3 Describe the contiguity principle and why it is effective for learning,9,413,0.631146294,0.652749335,0.128211784
31,15.4 Recognize when the contiguity principle has been violated and when it has been applied well,12,292,0.292448,0.572595338,0.323010851
32,15.5 Describe how CTA can be used to improve the application of the Multimedia principle,3,272,0.495950942,0.621507317,0.251350762
33,16.1 Describe the modality principle and why it is effective for learning,19,366,1.29902875,0.785671478,0.081300369
34,16.2 Recognize when the modality principle has been violated and when it has been applied well,18,785,0.628973005,0.652256558,0.078209835
35,16.3 Describe the redundancy principle and why it is effective for learning,24,401,0.382550842,0.594488187,0.05416478
36,16.4 Recognize when the redundancy principle has been violated and when it has been applied well,17,444,1.253816384,0.777959796,0.042640419
